Reporter	normalized log2 ratio
618389	0.217
618390	-0.11
618391	-0.006
618392	0.171
618393	0.041
618394	-0.18
618395	0.119
618396	-0.83
618397	-0.115
618398	-0.319
618399	-0.03
618400	-1.53
618401	-0.244
618402	-0.05
618403	-0.223
618404	-0.187
618405	-0.087
618406	-0.106
618407	0.057
618408	-0.169
618409	0.055
618410	-0.241
618411	-0.91
618412	-0.244
618413	0.211
618414	-0.199
618415	-0.052
618416	0.1
618417	-0.355
618418	0.098
618419	0.087
618420	-0.167
618421	0.175
618422	-0.003
618423	-0.103
618424	-0.141
618425	0.103
618426	-0.363
618427	0.044
618428	-0.439
618429	0.079
618430	-0.13
618431	-0.571
618432	-0.234
618433	0.948
618434	-0.15
618435	-0.193
618436	0.385
618437	0.046
618438	0.568
618439	0.356
618440	-0.087
618441	-0.028
618442	0.01
618443	-0.019
618444	-0.052
618445	-0.055
618446	-0.156
618447	-0.236
618448	-0.159
618449	-0.054
618450	-0.193
618451	0.28
618452	-0.083
618453	0.203
618454	0.179
618455	-0.087
618456	-0.357
618457	0.15
618458	-0.249
618459	-1.139
618460	0.12
618461	-0.029
618462	-0.045
618463	0.071
618464	0.251
618465	0.273
618466	0.092
618467	-0.051
618468	0.367
618469	0.357
618470	-0.091
618471	-0.001
618472	-0.035
618473	-0.022
618474	-0.109
618475	0.32
618476	-0.135
618477	0.342
618478	0.057
618479	-0.019
618480	-0.051
618481	0.095
618482	0.003
618483	0.306
618484	0.107
618485	-0.084
618486	1.046
618487	-0.087
618488	0.373
618489	-0.216
618490	0.1
618491	0.437
618492	-0.108
618493	0.044
618494	0.6
618495	0.286
618496	-0.067
618497	0.448
618498	-0.04
618499	-0.428
618500	-0.232
618501	-0.229
618502	-0.247
618503	-0.04
618504	0.085
618505	-0.227
618506	-0.137
618507	-0.764
618508	-0.149
618509	0.178
618510	0.145
618511	0.748
618512	1.166
618513	-0.044
618514	-0.141
618515	-0.063
618516	-0.008
618517	-0.265
618518	-0.385
618519	-0.061
618520	-0.005
618521	0.198
618522	-0.203
618523	0.023
618524	0.279
618525	0.26
618526	0.613
618527	-0.019
618528	-0.079
618529	0.028
618530	0.219
618531	-0.126
618532	-0.455
618533	-0.109
618534	-0.318
618535	0.48
618536	-0.006
618549	0.589
618550	0.303
618551	-5.008
618552	0.178
618553	0.025
618554	0.098
618555	0.2
618556	-0.153
618557	0.329
618558	0.019
618559	0.044
618560	0.664
618561	-0.018
618562	0.23
618563	0.05
618564	0.404
618565	0.44
618566	0.543
618567	-0.064
618568	0.551
618569	0.551
618570	-0.007
618571	-0.142
618572	0.084
618573	-0.141
618574	-0.176
618575	0.023
618576	0.173
618577	-0.056
618578	-0.265
618579	-0.085
618580	-0.205
618797	0.062
618798	-0.788
618799	0.018
618800	0.09
618801	0.315
618802	-0.02
618803	-0.009
618804	0.151
618805	-0.069
618806	0.039
618807	0.033
618808	-1.083
618809	-0.098
