Reporter	normalized log2 ratio
618389	-0.349
618390	-0.026
618391	0.049
618392	-0.038
618393	0.036
618394	0.112
618395	0.193
618396	-0.073
618397	0.042
618398	0.153
618399	0.04
618400	-1.515
618401	-0.329
618402	0.084
618403	-1.279
618404	-0.105
618405	-0.02
618406	0.077
618407	-0.13
618408	0.076
618409	0.362
618410	0.145
618411	0.415
618412	0.108
618413	0.681
618414	-0.026
618415	0.069
618416	-0.142
618417	-0.12
618418	0.296
618419	0.005
618420	-0.074
618421	0.138
618422	-0.063
618423	0.032
618424	-0.064
618425	0.038
618426	-0.06
618427	-0.359
618428	-0.246
618429	-0.018
618430	-0.015
618431	-0.418
618432	0.118
618433	-0.575
618434	0.015
618435	-0.126
618436	0.47
618437	0.136
618438	0.055
618439	-0.395
618440	-0.026
618441	0.055
618442	0.089
618443	0.13
618444	-0.045
618445	-0.023
618446	0.132
618447	0.118
618448	0.072
618449	-0.007
618450	0.835
618451	0.23
618452	0.006
618453	0.117
618454	-0.046
618455	-0.13
618456	-0.064
618457	-0.166
618458	-0.22
618459	-1
618460	-0.115
618461	-0.056
618462	0.007
618463	0.007
618464	0.158
618465	-0.246
618466	0.123
618467	-0.033
618468	0.084
618469	-0.256
618470	0.046
618471	0
618472	-0.196
618473	0.009
618474	0.019
618475	0.172
618476	-0.005
618477	-0.088
618478	0.047
618479	-0.215
618480	0.028
618481	-0.163
618482	-0.038
618483	-0.03
618484	0.182
618485	0.103
618486	-1.483
618487	-0.031
618488	-0.415
618489	-0.466
618490	0.204
618491	-0.731
618492	0.098
618493	-0.124
618494	0.723
618495	-0.011
618496	0.019
618497	-0.285
618498	-0.476
618499	-0.301
618500	0.059
618501	-0.09
618502	0.04
618503	0.269
618504	-0.144
618505	0.067
618506	0.021
618507	0.485
618508	0.022
618509	-0.713
618510	0.231
618511	0.092
618512	-2.641
618513	-0.016
618514	-0.069
618515	-0.254
618516	-0.004
618517	-0.214
618518	0.116
618519	0.107
618520	-0.019
618521	0.255
618522	0.054
618523	0.01
618524	0.119
618525	-0.165
618526	0.055
618527	-0.116
618528	-0.032
618529	0.121
618530	-0.029
618531	0.27
618532	-0.298
618533	-0.164
618534	0.039
618535	0.051
618536	0.082
618549	-0.281
618550	-0.011
618551	1.779
618552	0.008
618553	0.137
618554	0.366
618555	-0.105
618556	-0.083
618557	-0.358
618558	0.558
618559	0.01
618560	0.774
618561	-0.025
618562	0.201
618563	0.247
618564	-0.056
618565	0.085
618566	-0.214
618567	-0.012
618568	0.175
618569	0.542
618570	0.128
618571	-0.086
618572	-0.037
618573	0.204
618574	-0.034
618575	0.04
618576	-0.033
618577	0.007
618578	0.146
618579	0.02
618580	0.068
618797	-0.264
618798	-0.016
618799	0.067
618800	0.021
618801	-0.048
618802	-0.005
618803	0.023
618804	-0.139
618805	-0.294
618806	-0.023
618807	0.138
618808	-0.312
618809	-0.169
618810	0.228
618811	0.012
618812	-0.119
618813	-0.019
618814	0.162
618815	-0.101
618816	-0.161
618817	-0.32
618818	-0.107
618819	0.08
618820	-0.249
618821	0.102
618822	0.013
618823	-0.048
618824	-0.15
618825	0.103
618826	-0.049
618827	-0.073
618828	-0.315
618829	0.153
618830	0.233
618831	-0.123
618832	0.101
618833	0.189
618834	-0.383
618835	-0.057
618836	-0.896
618837	-0.13
618838	-0.061
618839	0.129
618840	0.702
618841	0.099
618842	-0.353
618843	0.099
618844	0.062
618845	0.026
618846	-0.056
618847	-0.005
618848	-0.054
618849	-0.915
618850	-0.024
618851	-0.157
618852	-0.348
618853	-0.565
618854	0.036
618855	0.083
618856	0.059
618857	-0.009
618858	-1.169
618859	-0.215
618860	0.101
618861	0.17
618862	0.217
618863	-0.532
618864	0.005
618865	-0.093
618866	-1.059
618867	-1.266
618868	0.279
618869	-0.051
618870	0.021
618871	-0.105
618872	-0.362
618873	-0.358
618874	-2.198
618875	0.002
618876	0.327
618877	-0.003
618878	0.144
618879	-0.17
618880	0.078
618881	-0.893
618882	0.137
618883	-0.653
618884	-0.187
618885	-0.055
618886	-0.058
618887	0.601
618888	-0.042
618889	-0.207
618890	-0.217
618891	-0.257
618892	-0.076
618893	0.168
618894	-0.083
618895	-0.075
618896	0.072
618897	0.111
618898	0.03
618899	0.032
618900	0.014
618901	0.104
618902	-0.215
618903	0.468
618904	0.075
618905	-0.082
618906	0.088
618907	-0.317
618908	0.123
618909	-0.005
618910	0.114
618911	-0.09
618912	-0.385
618913	0.461
618914	-0.064
618915	0.196
618916	-0.145
618917	-0.041
618918	0.009
618919	0.119
618920	0.103
618921	0.181
618922	0.508
618923	-0.182
618924	0.426
618925	-0.147
618926	0.078
618927	0.012
618928	-0.009
618929	0.033
618930	0.146
618931	-0.38
618932	0.416
618933	0.297
618934	0.123
618935	-0.852
618936	0.003
618937	-0.258
618938	0.549
618939	-0.063
618940	0.076
618941	0.54
618942	0.22
618943	-0.195
618944	-0.016
618949	-0.18
618950	-0.325
618951	-0.788
618953	0.074
618957	0.353
618958	0.283
618959	0.099
618960	-0.027
618961	0.096
618962	0.79
618963	0.223
618964	0.115
618965	0.426
618966	0.119
618967	0.184
618968	0.477
618969	0.169
618970	0.685
618971	0.017
618972	0.328
618973	-0.036
618974	0.052
618975	0.808
618976	-0.044
618977	0.275
618978	-0.138
618979	0.083
618980	-0.058
618981	0.093
618982	0.123
618983	0.332
618984	0.939
618985	0.005
618986	0.882
618987	0.176
618988	0.235
618989	0.243
618990	0.068
618991	-0.575
618993	-0.1
618994	0.062
619205	-0.009
619206	0.055
619207	-0.053
619208	-0.015
619209	-0.045
619210	-0.024
619211	0.169
619212	0.391
619213	-0.113
619214	-0.374
619215	-0.4
619216	1.591
619217	0.411
619218	0.172
619219	0.57
619220	0.232
619221	0.136
619222	-0.587
619223	0.257
619224	0.085
619225	0.573
619226	0.513
619227	-0.31
619228	-0.044
619229	0.033
619230	-1.84
619231	-0.28
619232	0.038
619233	-0.172
619234	-0.045
619235	-0.302
619236	0.247
619237	-0.23
619238	-0.013
619239	-0.222
619240	0.051
619241	-0.106
619242	-0.411
619243	-0.001
619244	-0.132
619245	0.074
619246	0.023
619247	-2.049
619248	-0.23
619249	1.557
619250	-0.585
619251	0.063
619252	-0.268
619253	0.091
619254	-0.292
619255	-0.101
619256	0.385
619257	1.479
619258	-0.165
619259	0.048
619260	0.11
619261	-0.003
619262	-0.038
619263	-0.064
619264	-0.216
619265	-0.083
619266	0.412
619267	-0.239
619268	-0.202
619269	-0.795
619270	-0.025
619271	-0.089
619272	0.007
619273	-0.475
619274	-0.666
619275	0.317
619276	-0.255
619277	0.285
619278	-0.23
619279	-0.194
619280	0.105
619281	-0.148
619282	0.146
619283	0.224
619284	-0.044
619285	-0.132
619286	0.036
619287	0.061
619288	-0.078
619289	-0.011
619290	-0.248
619291	0.428
619292	0.051
619293	-0.336
619294	-0.63
619295	0.179
619296	0.144
619297	-0.119
619298	0.24
619299	0.394
619300	-0.106
619301	0.398
619302	0.07
619303	-0.047
619304	0.1
619305	0.066
619306	0.108
619307	-0.065
619308	-0.04
619309	0.045
619310	0.123
619311	0.111
619312	-0.085
619313	-0.209
619314	0.142
619315	0.114
619316	-0.211
619317	-0.983
619318	-0.286
619319	0.163
619320	0.084
619321	-0.04
619322	-0.234
619323	-0.047
619324	0.599
619325	0.423
619326	-0.144
619327	0.067
619328	0.366
619329	-0.218
619330	-0.096
619331	-0.232
619332	-0.167
619333	-0.412
619334	-0.061
619335	0.016
619336	-0.059
619337	-0.88
619338	0
619339	-1.448
619340	0.155
619341	0.336
619342	1.566
619343	-0.117
619344	0.06
619345	-0.202
619346	0.246
619347	0.098
619348	-0.735
619349	-0.473
619350	0.291
619351	0.058
619352	-0.095
619353	-0.139
619354	-0.079
619355	0.424
619357	-0.079
619358	-0.67
619359	0.047
619360	-0.02
619361	0.04
619362	-0.067
619363	0.002
619364	-0.041
619365	0.044
619366	-0.795
619367	-0.056
619368	0.173
619369	-0.041
619370	-0.128
619371	-0.375
619372	0.324
619373	0.266
619374	-0.277
619375	0.08
619376	0.06
619377	0.178
619378	-0.107
619379	0.053
619380	0.015
619381	-0.556
619382	-0.111
619383	0.054
619384	0.141
619385	0.006
619386	-0.61
619387	0.125
619388	-0.745
619389	0.041
619390	-0.012
619391	0.574
619392	-0.001
619393	1.547
619394	0.861
619395	-0.114
619396	0.122
619397	0.313
619398	0.481
619399	0.949
619400	0.019
619401	-0.035
619402	-0.524
619403	-0.096
619404	0.017
619613	0.133
619614	-0.204
619615	0.135
619616	-0.183
619617	0.506
619618	0.093
619619	-0.349
619620	0.037
619621	-0.026
619622	0.484
619623	0.005
619624	-0.034
619625	-0.257
619626	-0.318
619627	-0.27
619628	0.103
619629	-0.224
619630	0.062
619631	0.036
619632	-0.076
619633	0.421
619634	-0.07
619635	-2.865
619636	0.016
619637	0.132
619638	-0.299
619639	-0.072
619640	-0.286
619641	-0.179
619642	-1.391
619643	0.187
619644	-0.079
619645	-0.344
619646	0.44
619647	0.227
619648	-0.096
619649	-0.456
619650	-0.057
619651	-0.187
619652	0.127
619653	0.245
619654	-0.76
619655	-0.396
619656	0.194
619657	1.466
619658	0.054
619659	0.572
619660	1.196
