Reporter	normalized log2 ratio
619264	-0.484
619265	0.047
619266	0.652
619267	-0.086
619268	-0.18
619269	-0.786
619270	0.162
619271	0.057
619272	0.101
619273	-0.531
619274	-0.592
619275	0.043
619276	-0.547
619277	0.18
619278	-0.043
619279	0
619280	0.188
619281	-0.089
619282	0.061
619283	0.149
619284	0.052
619285	-0.237
619286	-0.11
619287	0.139
619288	0.1
619289	0.098
619290	-0.025
619291	0.394
619292	0.077
619293	-0.21
619294	-0.685
619295	0.137
619296	-0.211
619297	0.029
619298	0.103
619299	0.345
619300	0.072
619301	0.3
619302	0.166
619303	-0.034
619304	0.222
619305	0.083
619306	0.045
619307	0.081
619308	0.195
619309	-0.103
619310	0.186
619311	0.404
619312	0.041
619313	-0.265
619314	0.427
619315	-0.109
619316	-0.403
619317	-0.824
619318	-0.274
619319	0.699
619320	-0.213
619321	0.089
619322	-0.055
619323	-0.487
619324	0.613
619325	0.245
619326	-0.135
619327	-0.026
619328	0.241
619329	-0.064
619330	-0.077
619331	0.134
619332	-0.11
619333	-0.738
619334	-0.048
619335	0.089
619336	0.062
619337	-0.751
619338	-0.159
619339	-1.269
619340	0.2
619341	0.43
619342	1.567
619343	-0.091
619344	0.075
619345	-0.055
619346	-0.277
619347	0.175
619348	-0.973
619349	-0.325
619350	0.004
619351	-0.124
619352	-0.253
619353	-0.269
619354	0.118
619355	0.212
619357	-0.063
619358	-0.201
619359	0.196
619360	-0.031
619361	0.01
619362	-0.178
619363	-0.122
619364	-0.069
619365	0.126
619366	-1.005
619367	-0.059
619368	0.184
619369	0.155
619370	-0.13
619371	-0.596
619372	0.415
619373	0.121
619374	-0.181
619375	-0.11
619376	0.064
619377	0.102
619378	0.056
619379	-0.078
619380	-0.093
619381	-0.235
619382	-0.429
619383	0.089
619384	0.203
619385	0.079
619386	-0.027
619387	0.012
619388	-0.867
619389	0.016
619390	-0.094
619391	0.501
619392	-0.119
619393	1.514
619394	0.784
619395	-0.11
619396	0.352
619397	0.32
619398	0.346
619399	0.868
619400	0.168
619401	0.006
619402	-0.123
619403	0.001
619404	0.259
619613	0.205
619614	-0.014
619615	0.25
619616	-0.2
619617	0.495
619618	0.123
619619	-0.337
619620	0.039
619621	0.159
619622	0.144
619623	0.22
619624	-0.107
619625	-0.211
619626	-0.157
619627	-0.078
619628	-0.035
619629	-0.067
619630	0.139
619631	-0.405
619632	-0.091
619633	0.124
619634	0.088
619635	-2.59
619636	-0.063
619637	0.229
619638	-0.025
619639	0.258
619640	-0.261
619641	0.004
619642	-1.223
619643	-0.037
619644	0.208
619645	-0.231
619646	0.227
619647	0.272
619648	-0.31
619649	-0.292
619650	-0.029
619651	-0.066
619652	0.188
619653	0.357
619654	-0.676
619655	-0.467
619656	-0.095
619657	1.486
619658	-0.167
619659	0.52
619660	0.942
619661	-0.073
619662	0.202
619663	0.603
619664	-1.511
619665	0.181
619666	0.258
619667	-0.412
619668	-0.235
619669	0.219
619670	0.179
619671	-0.097
619672	-0.145
619673	0.035
619674	-0.33
619675	0.144
619676	0.262
619677	0.101
619678	-0.003
619679	-0.133
619680	0.004
619681	0.227
619682	0.199
619683	0.011
619684	0.14
619685	0.532
619686	0.057
619687	-0.178
619688	0.255
619689	-0.03
619690	0.485
619691	0.021
619692	0.134
619693	0.182
619694	0.275
619695	-0.294
619696	-0.134
619697	-0.303
619698	-0.254
619699	0.135
619700	0.138
619701	-0.914
619702	-0.103
619703	-0.236
619704	0.13
619705	0.049
619706	-0.383
619707	-0.413
619708	-0.523
619709	0.121
619710	-0.217
619711	0.261
619712	-0.238
619713	0.033
619714	-0.03
619715	-1.476
619716	-0.289
619717	0.112
619718	0.139
619719	0.179
619720	-0.321
619721	-0.103
619722	0.062
619723	-0.079
619724	0.302
619725	-0.409
619726	0.164
619727	0.328
619728	-0.956
619729	0.127
619730	0.467
619731	-0.516
619732	0.029
619733	0.212
619734	0.078
619735	0.216
619736	0.062
619737	0.102
619738	-0.467
619739	0.286
619740	-0.407
619741	-0.032
619742	0.074
619743	0.016
619744	-0.24
619745	-0.104
619746	0.038
619747	0.145
619748	-0.551
619749	0.14
619750	0.034
619751	1.406
619752	-0.366
619753	0.271
619754	-0.015
619755	-0.204
619756	-0.062
619757	0.254
619758	0.244
619759	0.29
619760	0.039
619761	0.046
619762	0.113
619763	-0.203
619764	-0.166
619765	-0.221
619766	-2.12
619767	-0.013
619768	0.144
619769	-0.06
619770	-0.041
619771	0.042
619772	-0.142
619773	0.177
619774	1.48
619775	-0.251
619776	0.187
619777	0.253
619778	0.197
619779	1.298
619780	0.179
619781	0.153
619782	-0.731
619783	-0.901
619784	-0.305
619785	-0.155
619786	0.008
619787	0.134
619788	0.357
619789	-0.175
619790	-0.134
619791	0.061
619792	0.123
619793	0.507
619794	0.67
619795	0.047
619796	0.565
619797	0.058
619798	-0.564
619799	-0.204
619800	0.528
619801	0.471
619802	0.146
619803	-0.074
619804	-0.111
619805	0.98
619806	-0.027
619807	0.156
619808	-0.419
619809	-0.137
619810	0.015
619811	1.308
619812	0.36
620021	0.016
620022	0.176
620023	0.118
620024	-0.55
620025	0.106
620026	-0.884
620027	0.304
620028	0.236
620029	0.08
620030	0.058
620031	-0.303
620032	0.027
620033	0.318
620034	0.182
620035	-0.389
620036	-0.049
620037	-0.026
620038	0.117
620039	0.18
620040	0.138
620041	-0.608
620042	0.102
620043	-0.245
620044	0.311
620045	-3.571
620046	0.187
620047	-0.042
620048	-0.136
620049	-0.272
620050	0.155
620051	-0.331
620052	0.006
620053	-0.17
620054	0.313
620055	1.369
620056	-0.126
620057	-0.033
620058	0.252
620059	0.449
620060	0.059
620061	-0.12
