Reporter	normalized log2 ratio
618389	-0.484
618390	0.148
618391	-0.038
618392	-0.105
618393	0.023
618394	0.076
618395	-0.13
618396	-0.02
618397	0.126
618398	0.418
618399	0.155
618400	-1.336
618401	-0.608
618402	0.318
618403	-1.929
618404	-0.046
618405	0.088
618406	0.097
618407	-0.047
618408	0.093
618409	0.272
618410	0.234
618411	-0.016
618412	0.258
618413	-0.264
618414	0.051
618415	-0.069
618416	-0.071
618417	0.155
618418	0.048
618419	-0.201
618420	-0.156
618421	-0.814
618422	0.238
618423	-0.005
618424	0.255
618425	-0.034
618426	0.271
618427	-0.453
618428	-0.375
618429	-0.175
618430	0.051
618431	-0.165
618432	0.047
618433	-0.045
618434	-0.045
618435	-0.165
618436	-0.046
618437	-0.029
618438	0.219
618439	-0.353
618440	0.201
618441	0.137
618442	-0.045
618443	-0.137
618444	-0.034
618445	-0.043
618446	0.196
618447	-0.097
618448	0.075
618449	0.078
618450	0.37
618451	-0.018
618452	0.205
618453	-0.146
618454	-0.113
618455	0.137
618456	-0.053
618457	-0.123
618458	-0.199
618459	-0.947
618460	0.141
618461	0.003
618462	-0.283
618463	-0.044
618464	0.204
618465	-0.524
618466	0.046
618467	0.3
618468	-0.223
618469	-0.207
618470	0.141
618471	0.063
618472	-0.499
618473	-0.009
618474	0.159
618475	-0.109
618476	0.14
618477	-0.316
618478	-0.408
618479	0.264
618480	-0.004
618481	-0.353
618482	0.012
618483	0.141
618484	0.083
618485	0.03
618486	-1.806
618487	-0.222
618488	-0.401
618489	0.065
618490	0.252
618491	-0.797
618492	0.072
618493	-0.299
618494	0.69
618495	-0.061
618496	0.178
618497	-0.233
618498	-0.441
618499	0.054
618500	0.05
618501	0.082
618502	-0.047
618503	0.296
618504	-0.101
618505	0.162
618506	0.123
618507	-0.158
618508	0.224
618509	-0.11
618510	-0.024
618511	0.295
618512	-2.409
618513	-0.01
618514	0.047
618515	-0.167
618516	-0.014
618517	-0.226
618518	0.48
618519	0.182
618520	0.025
618521	0.257
618522	-0.016
618523	0.064
618524	-0.019
618525	-0.27
618526	-0.191
618527	0.086
618528	0.127
618529	0.018
618530	-0.042
618531	-0.078
618532	-0.148
618533	-0.212
618534	0.695
618535	-0.04
618536	-0.059
618549	-0.787
618550	-0.1
618551	1.423
618552	-0.27
618553	0.459
618554	0.233
618555	0.775
618556	0.262
618557	-0.141
618558	1.086
618559	0.152
618560	0.237
618561	0.187
618562	0.261
618563	-0.018
618564	0.087
618565	-0.007
618566	-0.058
618567	0.31
618568	-1.029
618569	0.461
618570	-0.069
618571	-0.062
618572	-0.009
618573	0.291
618574	0.209
618575	0.118
618576	0.021
618577	0.119
618578	0.38
618579	0.027
618580	0.071
618797	-0.488
618798	0.123
618799	0.142
618800	-0.025
618801	-0.244
618802	-0.153
618803	-0.045
618804	-0.26
618805	-0.063
618806	-0.089
618807	0.098
618808	-0.503
618809	-0.449
618810	-0.066
618811	-0.073
618812	-0.25
618813	0.247
618814	0.184
618815	-0.138
618816	-0.105
618817	-0.547
618818	0.046
618819	-0.327
618820	-0.53
618821	0.554
618822	0.459
618823	0.345
618824	-0.398
618825	-0.284
618826	0.138
618827	-0.071
618828	-0.439
618829	0.136
618830	0.096
618831	-0.433
618832	0.185
618833	0.244
618834	-0.451
618835	0.275
618836	-1.027
618837	0.085
