reporter  log2_ratio
618389	0.124
618390	0.13
618391	0.032
618392	0.41
618393	0.058
618394	-0.197
618395	-0.019
618396	-0.801
618397	-0.029
618398	-0.137
618399	-0.053
618400	-1.529
618401	-0.53
618402	-0.095
618403	-0.6
618404	-0.125
618405	0.285
618406	0.12
618407	0.266
618408	-0.63
618409	0.052
618410	0.35
618411	-0.476
618412	0.175
618413	0.127
618414	-0.019
618415	-0.347
618416	-0.049
618417	-0.153
618418	-0.018
618419	0.094
618420	0.036
618421	-0.344
618422	-0.056
618423	0
618424	-0.163
618425	-0.205
618426	-0.135
618427	0.448
618428	-0.605
618429	-0.219
618430	-0.013
618431	-0.466
618432	0.017
618433	1.072
618434	-0.007
618435	-0.417
618436	0.139
618437	-0.121
618438	0.483
618439	0.903
618440	0.018
618441	-0.024
618442	0.057
618443	-0.131
618444	-0.011
618445	0.084
618446	-0.055
618447	-0.142
618448	0.121
618449	-0.132
618450	0.008
618451	-0.028
618452	0.157
618453	-0.007
618454	0.234
618455	-0.07
618456	0.432
618457	-0.271
618458	-0.147
618459	-1.053
618460	0.053
618461	-0.109
618462	0.016
618463	0.13
618464	0.15
618465	0.038
618466	0.078
618467	0.038
618468	0.42
618469	0.238
618470	0.013
618471	0.066
618472	-0.184
618473	0.057
618474	-0.099
618475	0.019
618476	-0.328
618477	-0.123
618478	-0.101
618479	0.108
618480	0.079
618481	-0.077
618482	0.142
618483	-0.06
618484	-0.074
618485	0.062
618486	0.701
618487	-0.277
618488	0.332
618489	0.63
618490	0.006
618491	0.138
618492	-0.093
618493	-0.202
618494	0.158
618495	0.287
618496	-0.033
618497	0.342
618498	0.202
618499	-0.252
618500	0.039
618501	-0.197
618502	-0.383
618503	-0.183
618504	-0.071
618505	-0.091
618506	-0.117
618507	-1.046
618508	0.037
618509	1.183
618510	-0.243
618511	0.403
618512	1.406
618513	0.057
618514	-0.301
618515	-0.329
618516	-0.35
618517	-0.035
618518	-0.328
618519	0.115
618520	-0.022
618521	0.072
618522	-0.193
618523	-0.078
618524	0.076
618525	0.053
618526	-0.137
618527	-0.073
618528	0.083
618529	0.023
618530	0.077
618531	-0.44
618532	-0.088
618533	-0.18
618534	-0.406
618535	0.318
618536	0.07
618549	0.353
618550	0.279
618551	-5.093
618552	0.13
618553	0.035
618554	-0.167
618555	0.996
618556	-0.121
618557	0.572
618558	-0.168
618559	0.181
618560	0.575
618561	0.07
618562	0.021
618563	0.158
618564	0.4
618565	0.126
618566	0.966
618567	0.083
618568	0.369
618569	0.176
618570	-0.012
618571	-0.136
618572	0.083
618573	0.032
618574	-0.186
618575	0.108
618576	0.286
618577	0.118
618578	0.052
618579	-0.053
618580	-0.035
618797	0.236
618798	-0.258
618799	0.051
618800	0.055
618801	0.105
618802	-0.071
618803	-0.105
618804	-0.122
618805	0.105
618806	0.043
618807	-0.167
618808	-1.48
618809	-0.305
618810	-0.22
618811	0.026
618812	-0.065
618813	-0.085
618814	0.162
618815	0.007
618816	-0.497
618817	-0.942
618818	0.168
618819	-0.391
618820	-0.411
618821	-0.033
618822	0.146
618823	-0.534
618824	-0.063
618825	-0.105
618826	-0.009
618827	0.127
618828	-0.117
618829	0.302
618830	0.054
618831	0.144
618832	-0.017
618833	0.265
618834	0.212
618835	0.032
618836	-0.002
618837	0.202
618838	-0.091
618839	-0.032
618840	0.303
618841	-0.016
618842	-0.331
618843	-0.051
618844	0.042
618845	0.106
618846	0.072
