Reporter	normalized log2 ratio
618389	0.188
618390	0.06
618391	0.012
618392	-0.085
618393	-0.012
618394	0.05
618395	0.044
618396	-0.824
618397	-0.048
618398	-0.358
618399	-0.002
618400	-1.47
618401	-0.124
618402	-0.151
618403	-0.45
618404	-0.147
618405	0.091
618406	-0.038
618407	0.236
618408	-0.693
618409	-0.019
618410	0.295
618411	-0.341
618412	0.204
618413	0.122
618414	-0.082
618415	-0.141
618416	0.196
618417	-0.08
618418	-0.123
618419	-0.143
618420	0.057
618421	0.224
618422	-0.019
618423	-0.016
618424	-0.232
618425	0.175
618426	0.153
618427	0.443
618428	-0.559
618429	-0.106
618430	0.06
618431	-0.485
618432	0.11
618433	0.571
618434	-0.023
618435	-0.159
618436	-0.154
618437	0.107
618438	0.314
618439	0.89
618440	0.015
618441	-0.019
618442	0.074
618443	-0.015
618444	0.14
618445	0.246
618446	0.056
618447	0.108
618448	0.18
618449	0.017
618450	-0.107
618451	-0.004
618452	0.312
618453	0.113
618454	0.004
618455	0.404
618456	0.212
618457	-0.03
618458	-0.186
618459	-1.136
618460	0.059
618461	-0.101
618462	-0.132
618463	-0.034
618464	0.087
618465	0.047
618466	0.136
618467	-0.153
618468	-0.089
618469	0.272
618470	0.079
618471	0.27
618472	-0.194
618473	-0.068
618474	0.009
618475	0.074
618476	-0.091
618477	0.088
618478	0.018
618479	-0.067
618480	-0.049
618481	-0.161
618482	0.127
618483	0.449
618484	-0.018
618485	0.091
618486	1.359
618487	-0.371
618488	0.189
618489	0.487
618490	0.098
618491	0.175
618492	-0.114
618493	-0.13
618494	0.278
618495	0.438
618496	0.095
618497	0.235
618498	0.233
618499	-0.086
618500	-0.063
618501	-0.232
618502	-0.426
618503	-0.226
618504	-0.084
618505	-0.042
618506	-0.112
618507	-0.342
618508	-0.145
618509	1.05
618510	-0.109
618511	0.35
618512	1.644
618513	-0.074
618514	0.045
618515	-0.14
618516	0.03
618517	0.158
618518	-0.344
618519	0.048
618520	-0.047
618521	0.234
618522	-0.24
618523	0.075
618524	0.026
618525	0.184
618526	-0.14
618527	-0.017
618528	0.061
618529	0.096
618530	-0.026
618531	-0.348
618532	0.15
618533	-0.041
618534	-0.47
618535	0.703
618536	-0.13
618549	0.422
618550	0.255
618551	-4.901
618552	0.168
618553	-0.034
618554	-0.123
618555	1.158
618556	-0.159
618557	0.447
618558	-0.045
618559	0.086
618560	0.49
618561	-0.021
618562	-0.022
618563	0.101
618564	0.501
618565	0.156
618566	1.178
618567	-0.198
618568	0.577
618569	0.391
618570	-0.133
618571	-0.267
618572	-0.087
618573	-0.034
618574	0.067
618575	-0.079
618576	0.225
618577	-0.064
618578	-0.114
618579	-0.037
618580	-0.081
618797	0.537
618798	0.22
618799	-0.004
618800	-0.002
618801	0.303
618802	-0.09
618803	-0.122
618804	0.11
618805	0.043
618806	-0.084
618807	-0.186
618808	-1.562
618809	-0.414
618810	-0.323
618811	-0.149
618812	0.153
618813	0.075
618814	0.114
618815	0.211
618816	-0.367
618817	-1.262
618818	0.118
618819	-0.255
618820	-0.299
618821	0.065
618822	0.122
618823	-0.149
618824	0.099
618825	-0.338
618826	-0.208
618827	0.081
618828	-0.185
618829	0.457
618830	-0.078
618831	0.03
618832	0.064
618833	-0.028
618834	0.2
618835	-0.171
618836	0.108
618837	-0.02
618838	-0.163
618839	-0.005
618840	0.338
