reporter_name,gene_name,gene_entrez_id
619773,yffO,946929
619774,fliD,946428
619775,envZ,947272
619776,yajO,946903
619777,yfcR,946818
619778,afuBpseudogene,947073
619779,yecR,946386
619780,phnC,948623
619781,ybfK,948953
619782,tauD,945021
619783,hisI,946515
619784,ydhJ,946499
619785,yedE,945192
619786,panE,945065
619787,araD,945294
619788,yhcH,947750
619789,cobC,945246
619790,pheV,947463
619791,hemY,948311
619792,yeaL,946307
619793,yedJ,946478
619794,relE,947549
619795,yheM,947853
619796,yagJ,949094
619797,proM,948303
619798,putP,945602
619799,hemX,948446
619800,wbbLpseudogene,
619801,yfeT,946568
619802,ylbF,945195
619803,fadA,948324
619804,ymfD,945329
619805,galT,945357
619806,yfdM,945416
619807,moaA,945392
619808,leuX,948803
619809,ldrA,2847733
619810,ydfO,945992
619811,yedNpseudogene,
619812,istR,5061525
619824,yejH,945529
619838,yqeG,945028
619851,ybbJ,945126
619858,ansP,946019
619868,mglB,949041
619890,dos,945815
619893,yjgN,948784
619903,wcaE,946543
619924,yhjQpseudogene,948052
619969,tpr,946224
619972,yafFpseudogene,1450235
619977,yffO,946929
619978,fliD,946428
619979,envZ,947272
619980,yajO,946903
619981,yfcR,946818
619982,afuBpseudogene,947073
619983,yecR,946386
619984,phnC,948623
619985,ybfK,948953
619986,tauD,945021
619987,hisI,946515
619988,ydhJ,946499
619989,yedE,945192
619990,panE,945065
619991,araD,945294
619992,yhcH,947750
619993,cobC,945246
619994,pheV,947463
619995,hemY,948311
619996,yeaL,946307
619997,yedJ,946478
619998,relE,947549
619999,yheM,947853
620000,yagJ,949094
620001,proM,948303
620002,putP,945602
620003,hemX,948446
620004,wbbLpseudogene,
620005,yfeT,946568
620006,ylbF,945195
620007,fadA,948324
620008,ymfD,945329
620009,galT,945357
620010,yfdM,945416
620011,moaA,945392
620012,leuX,948803
620013,ldrA,2847733
620014,ydfO,945992
620015,yedNpseudogene,
620016,istR,5061525
620022,ygjK,947596
620033,yoeFpseudogene,1450273
620050,ytfE,948724
620075,mobB,948343
620089,yqeH,945263
620101,ulaB,948716
620109,djlC,945253
620119,gapCpseudogene_v2,
620142,atoA,946719
620159,yoeA,
620181,yedA,946461
620182,ydfB,946176
620183,yedW,946486
620184,galK,945358
620185,yejO,
620186,valT,945331
620187,yedF,946909
620188,psrD,2847755
620189,lomRpseudogene,
620190,ylcI,1450267
620191,paaH,945940
620192,dinJ,944914
620193,modA,945364
620194,ydaU,945925
620195,yffN,946930
620196,ychGpseudogene_v3,
620197,nadR,948911
620198,fliG,946451
620199,yaiX,4056039
620200,yedR,946477
620201,ycfZ,945685
620202,yabP,
620203,yedI,946465
620204,ydfP,946101
620205,phnI,948605
620206,ryiA,2847678
620207,wcaK,946569
620208,mrcB,944843
620209,ygcL,947222
620210,creB,948922
620211,yfdOpseudogene,
620212,modF,945368
620226,ygjK,947596
620237,yoeFpseudogene,1450273
620254,ytfE,948724
620279,mobB,948343
620293,yqeH,945263
620305,ulaB,948716
620313,djlC,945253
620323,gapCpseudogene_v2,
620346,atoA,946719
620363,yoeA,
620385,yedA,946461
620386,ydfB,946176
620387,yedW,946486
620388,galK,945358
620389,yejO,
620390,valT,945331
620391,yedF,946909
620392,psrD,2847755
620393,lomRpseudogene,
620394,ylcI,1450267
620395,paaH,945940
620396,dinJ,944914
620397,modA,945364
620398,ydaU,945925
620399,yffN,946930
620400,ychGpseudogene_v3,
620401,nadR,948911
620402,fliG,946451
620403,yaiX,4056039
620404,yedR,946477
620405,ycfZ,945685
620406,yabP,
620407,yedI,946465
620408,ydfP,946101
